Player,Team_x,Season,Position_x,Minutes,Goals Added,Base Salary,Guaranteed Compensation
Carlos Vela,LAFC,2019,W,2988,15.95,"$4,500,000","$6,300,000"
Zlatan Ibrahimovic,LAG,2019,ST,2862,13.66,"$7,200,000","$7,200,000"
Robbie Keane,LAG,2014,ST,2735,12.55,"$4,500,000","$4,500,000"
Miguel Almirón,ATL,2018,AM,3014,12.39,"$1,912,500","$2,297,000"
Alberth Elis,HOU,2018,W,2643,11.29,"$650,340","$650,340"
Sebastián Blanco,POR,2019,W,2776,10.91,"$2,740,008","$2,853,341"
Sebastian Giovinco,TOR,2015,ST,2960,10.45,"$5,600,000","$7,115,556"
Joao Plata,RSL,2017,W,2473,10.36,"$450,000","$608,333"
Diego Fagundez,NER,2017,CM,2613,10.23,"$160,000","$180,000"
Josef Martínez,ATL,2018,ST,3121,10.22,"$1,270,008","$1,387,318"
Ignacio Piatti,MTL,2016,W,3039,10.05,"$425,000","$425,000"
Sebastián Blanco,POR,2018,AM,2797,10.04,"$1,300,008","$1,375,008"
Darwin Quintero,MIN,2018,AM,2618,10.03,"$1,650,000","$1,650,000"
Maximiliano Moralez,NYC,2018,AM,3033,9.94,"$2,000,000","$2,000,000"
Bradley Wright-Phillips,NYRB,2016,ST,2966,9.63,"$650,000","$715,000"
Kei Kamara,CLB,2015,ST,2953,9.62,"$400,000","$536,667"
Carles Gil,NER,2019,CM,3347,9.53,"$2,100,000","$2,337,500"
Thierry Henry,NYRB,2013,ST,2737,9.5,"$3,750,000","$4,350,000"
David Villa,NYC,2016,ST,3104,9.42,"$5,610,000","$5,610,000"
Bradley Wright-Phillips,NYRB,2018,ST,2762,9.25,"$1,500,000","$1,635,000"
Alberth Elis,HOU,2019,W,2140,9.03,"$650,340","$650,340"
Carlos Vela,LAFC,2018,W,2618,9.02,"$4,500,000","$6,292,500"
Sebastian Giovinco,TOR,2016,ST,2597,8.95,"$5,600,000","$7,115,556"
Ola Kamara,CLB,2016,ST,2024,8.91,"$425,000","$457,500"
Ola Kamara,LAG,2018,ST,2925,8.89,"$825,000","$925,000"
Alphonso Davies,VAN,2018,W,2679,8.86,"$72,500","$72,500"
Landon Donovan,LAG,2014,W,2909,8.85,"$4,250,000","$4,583,333"
Luciano Acosta,DCU,2018,AM,2983,8.77,"$550,000","$652,000"
Dom Dwyer,SKC,2015,ST,2749,8.21,"$400,000","$518,750"
Fabian Castillo,FCD,2015,W,2734,8.19,"$145,000","$160,000"
Miguel Almirón,ATL,2017,AM,2578,8.19,"$1,912,500","$2,297,000"
Josef Martínez,ATL,2019,ST,2811,8.17,"$3,000,000","$3,058,333"
Diego Valeri,POR,2014,AM,2980,8.14,"$500,000","$500,000"
Bradley Wright-Phillips,NYRB,2014,ST,2751,8.1,"$330,000","$372,500"
