"","Player","Team","Season","Position","Minutes","Goals Added"
"","Carlos Vela","LAFC","2019","W","2988","15.95"
"","Zlatan Ibrahimovic","LAG","2019","ST","2862","13.66"
"","Robbie Keane","LAG","2014","ST","2735","12.55"
"","Miguel Almirón","ATL","2018","AM","3014","12.39"
"","Alberth Elis","HOU","2018","W","2643","11.29"
"","Sebastián Blanco","POR","2019","W","2776","10.91"
"","Sebastian Giovinco","TOR","2015","ST","2960","10.45"
"","Joao Plata","RSL","2017","W","2473","10.36"
"","Diego Fagundez","NER","2017","CM","2613","10.23"
"","Josef Martínez","ATL","2018","ST","3121","10.22"
"","Ignacio Piatti","MTL","2016","W","3039","10.05"
"","Sebastián Blanco","POR","2018","AM","2797","10.04"
"","Darwin Quintero","MIN","2018","AM","2618","10.03"
"","Maximiliano Moralez","NYC","2018","AM","3033","9.94"
"","Bradley Wright-Phillips","NYRB","2016","ST","2966","9.63"
"","Kei Kamara","CLB","2015","ST","2953","9.62"
"","Carles Gil","NER","2019","CM","3347","9.53"
"","Thierry Henry","NYRB","2013","ST","2737","9.50"
"","David Villa","NYC","2016","ST","3104","9.42"
"","Bradley Wright-Phillips","NYRB","2018","ST","2762","9.25"
"","Alberth Elis","HOU","2019","W","2140","9.03"
"","Carlos Vela","LAFC","2018","W","2618","9.02"
"","Sebastian Giovinco","TOR","2016","ST","2597","8.95"
"","Ola Kamara","CLB","2016","ST","2024","8.91"
"","Ola Kamara","LAG","2018","ST","2925","8.89"
"","Alphonso Davies","VAN","2018","W","2679","8.86"
"","Landon Donovan","LAG","2014","W","2909","8.85"
"","Luciano Acosta","DCU","2018","AM","2983","8.77"
"","Dom Dwyer","SKC","2015","ST","2749","8.21"
"","Fabian Castillo","FCD","2015","W","2734","8.19"
"","Miguel Almirón","ATL","2017","AM","2578","8.19"
"","Josef Martínez","ATL","2019","ST","2811","8.17"
"","Diego Valeri","POR","2014","AM","2980","8.14"
"","Bradley Wright-Phillips","NYRB","2014","ST","2751","8.10"
"","Johnny Russell","SKC","2018","W","2382","8.07"
"","Latif Blessing","LAFC","2019","CM","2964","8.05"
"","Sebastián Blanco","POR","2017","W","2999","8.02"
"","Bradley Wright-Phillips","NYRB","2015","ST","3043","7.93"
"","Diego Valeri","POR","2018","AM","3004","7.91"
"","Lloyd Sam","NYRB","2014","W","3051","7.91"
"","Ignacio Piatti","MTL","2018","W","3045","7.87"
"","Dominic Oduro","CLB","2013","W","3029","7.70"
"","David Villa","NYC","2017","ST","2745","7.69"
"","Fabian Castillo","FCD","2014","W","2473","7.68"
"","Jordan Morris","SEA","2016","ST","3042","7.66"
"","Eduard Atuesta","LAFC","2019","DM","2879","7.62"
"","Zlatan Ibrahimovic","LAG","2018","ST","2336","7.56"
"","Diego Valeri","POR","2013","CM","2431","7.55"
"","Diego Valeri","POR","2016","AM","2831","7.54"
"","David Accam","CHI","2015","W","1988","7.53"
"","Deshorn Brown","COL","2014","ST","2451","7.52"
"","Cristian Espinoza","SJE","2019","W","2745","7.49"
"","Jack Elliott","PHI","2019","CB","3374","7.47"
"","Thierry Henry","NYRB","2014","ST","2849","7.46"
"","Bradley Wright-Phillips","NYRB","2017","ST","2745","7.45"
"","Valeri Qazaishvili","SJE","2019","W","2318","7.44"
"","Aleksandar Katai","CHI","2019","W","2294","7.32"
"","Obafemi Martins","SEA","2014","ST","2784","7.31"
"","Diego Rossi","LAFC","2019","W","3139","7.30"
"","Dax McCarty","NYRB","2015","DM","2965","7.21"
"","Patrick Nyarko","CHI","2013","W","2308","7.20"
"","Michael Barrios","FCD","2018","W","2751","7.10"
"","Will Bruin","HOU","2013","ST","2777","7.10"
"","Sacha Kljestan","NYRB","2015","AM","3036","7.08"
"","Justin Meram","CLB","2016","W","2758","7.07"
"","Ola Kamara","CLB","2017","ST","3071","7.06"
"","Javier Morales","RSL","2013","AM","2471","7.04"
"","Fanendo Adi","POR","2016","ST","2879","7.01"
"","Obafemi Martins","SEA","2015","ST","1947","6.96"
"","Saphir Taïder","MTL","2018","CM","3081","6.90"
