"","Player","Team","Season","Position","Base Salary","Guaranteed Compensation","Date"
"","Zlatan Ibrahimovic","LAG","2019","F","$7,200,000","$7,200,000","2019-06-01"
"","Zlatan Ibrahimovic","LAG","2019","F","$7,200,000","$7,200,000","2019-09-13"
"","Kaká","ORL","2016","M","$6,660,000","$7,167,500","2016-09-15"
"","Kaká","ORL","2017","M","$6,660,000","$7,167,500","2017-04-15"
"","Kaká","ORL","2017","M","$6,660,000","$7,167,500","2017-09-15"
"","Kaká","ORL","2014","M","$6,660,000","$7,167,500","2014-09-15"
"","Kaká","ORL","2015","M","$6,660,000","$7,167,500","2015-07-15"
"","Kaká","ORL","2015","M","$6,660,000","$7,167,500","2015-09-15"
"","Kaká","ORL","2016","M","$6,660,000","$7,167,500","2016-05-15"
"","Steven Gerrard","LAG","2015","M","$6,200,004","$6,332,504","2015-07-15"
"","Steven Gerrard","LAG","2015","M","$6,200,004","$6,332,504","2015-09-15"
"","Bastian Schweinsteiger","CHI","2018","M","$6,100,000","$6,100,000","2018-05-01"
"","Bastian Schweinsteiger","CHI","2018","M","$6,100,000","$6,100,000","2018-09-15"
"","Michael Bradley","TOR","2016","M","$6,000,000","$6,500,000","2016-09-15"
"","Michael Bradley","TOR","2017","M","$6,000,000","$6,500,000","2017-04-15"
"","Michael Bradley","TOR","2017","M","$6,000,000","$6,500,000","2017-09-15"
"","Michael Bradley","TOR","2018","M","$6,000,000","$6,500,000","2018-05-01"
"","Michael Bradley","TOR","2018","M","$6,000,000","$6,500,000","2018-09-15"
"","Michael Bradley","TOR","2014","M","$6,000,000","$6,500,000","2014-04-01"
"","Michael Bradley","TOR","2014","M","$6,000,000","$6,500,000","2014-09-15"
"","Michael Bradley","TOR","2015","M","$6,000,000","$6,500,000","2015-07-15"
"","Michael Bradley","TOR","2015","M","$6,000,000","$6,500,000","2015-09-15"
"","Michael Bradley","TOR","2016","M","$6,000,000","$6,500,000","2016-05-15"
"","Michael Bradley","TOR","2019","M","$6,000,000","$6,500,000","2019-09-13"
"","Michael Bradley","TOR","2019","M","$6,000,000","$6,428,571","2019-06-01"
"","Jermain Defoe","TOR","2014","F","$6,000,000","$6,180,000","2014-04-01"
"","Jermain Defoe","TOR","2014","F","$6,000,000","$6,180,000","2014-09-15"
"","Steven Gerrard","LAG","2016","M","$6,000,000","$6,132,500","2016-09-15"
"","Steven Gerrard","LAG","2016","M","$6,000,000","$6,132,500","2016-05-15"
"","Frank Lampard","NYC","2016","M","$6,000,000","$6,000,000","2016-09-15"
"","Frank Lampard","NYC","2015","M","$6,000,000","$6,000,000","2015-07-15"
"","Frank Lampard","NYC","2015","M","$6,000,000","$6,000,000","2015-09-15"
"","Frank Lampard","NYC","2016","M","$6,000,000","$6,000,000","2016-05-15"
"","David Villa","NYC","2016","F","$5,610,000","$5,610,000","2016-09-15"
"","David Villa","NYC","2017","F","$5,610,000","$5,610,000","2017-04-15"
"","David Villa","NYC","2017","F","$5,610,000","$5,610,000","2017-09-15"
"","David Villa","NYC","2018","F","$5,610,000","$5,610,000","2018-05-01"
"","David Villa","NYC","2018","F","$5,610,000","$5,610,000","2018-09-15"
"","David Villa","NYC","2015","F","$5,610,000","$5,610,000","2015-07-15"
"","David Villa","NYC","2015","F","$5,610,000","$5,610,000","2015-09-15"
"","David Villa","NYC","2016","F","$5,610,000","$5,610,000","2016-05-15"
"","Bastian Schweinsteiger","CHI","2019","M","$5,600,000","$5,600,000","2019-09-13"
"","Sebastian Giovinco","TOR","2016","F","$5,600,000","$7,115,556","2016-09-15"
"","Sebastian Giovinco","TOR","2017","F","$5,600,000","$7,115,556","2017-04-15"
"","Sebastian Giovinco","TOR","2017","F","$5,600,000","$7,115,556","2017-09-15"
"","Sebastian Giovinco","TOR","2018","F","$5,600,000","$7,115,556","2018-05-01"
"","Sebastian Giovinco","TOR","2018","F","$5,600,000","$7,115,556","2018-09-15"
"","Sebastian Giovinco","TOR","2015","M","$5,600,000","$7,115,556","2015-07-15"
"","Sebastian Giovinco","TOR","2015","M","$5,600,000","$7,115,556","2015-09-15"
"","Sebastian Giovinco","TOR","2016","F","$5,600,000","$7,115,556","2016-05-15"
"","Andrea Pirlo","NYC","2016","M","$5,600,000","$5,915,690","2016-09-15"
"","Andrea Pirlo","NYC","2017","M","$5,600,000","$5,915,690","2017-04-15"
"","Andrea Pirlo","NYC","2017","M","$5,600,000","$5,915,690","2017-09-15"
"","Andrea Pirlo","NYC","2016","M","$5,600,000","$5,915,690","2016-05-15"
"","Bastian Schweinsteiger","CHI","2019","M","$5,600,000","$5,600,000","2019-06-01"
"","Bastian Schweinsteiger","CHI","2017","M","$5,400,000","$5,400,000","2017-04-15"
"","Bastian Schweinsteiger","CHI","2017","M","$5,400,000","$5,400,000","2017-09-15"
"","Jozy Altidore","TOR","2018","F","$5,000,000","$5,000,000","2018-05-01"
"","Jozy Altidore","TOR","2018","F","$5,000,000","$5,000,000","2018-09-15"
"","Clint Dempsey","SEA","2014","F","$4,913,004","$6,695,189","2014-04-01"
"","Clint Dempsey","SEA","2014","F","$4,913,004","$6,695,189","2014-09-15"
"","Clint Dempsey","SEA","2013","F","$4,913,004","$5,038,567","2013-08-01"
"","Clint Dempsey","SEA","2013","F","$4,913,004","$5,038,567","2013-09-15"
"","Jozy Altidore","TOR","2019","F","$4,891,250","$6,332,250","2019-09-13"
"","Jozy Altidore","TOR","2019","F","$4,891,250","$6,332,250","2019-06-01"
"","Jozy Altidore","TOR","2017","F","$4,875,000","$4,875,000","2017-04-15"
"","Jozy Altidore","TOR","2017","F","$4,875,000","$4,875,000","2017-09-15"
"","Jozy Altidore","TOR","2016","F","$4,825,000","$4,825,000","2016-09-15"
"","Jozy Altidore","TOR","2016","F","$4,825,000","$4,825,000","2016-05-15"
"","Jozy Altidore","TOR","2015","F","$4,750,000","$4,750,000","2015-07-15"
"","Jozy Altidore","TOR","2015","F","$4,750,000","$4,750,000","2015-09-15"
"","Carlos Vela","LAFC","2019","M","$4,500,000","$6,300,000","2019-06-01"
"","Carlos Vela","LAFC","2019","M","$4,500,000","$6,300,000","2019-09-13"
"","Carlos Vela","LAFC","2018","F","$4,500,000","$6,292,500","2018-05-01"
"","Carlos Vela","LAFC","2018","F","$4,500,000","$6,292,500","2018-09-15"
"","Robbie Keane","LAG","2014","F","$4,500,000","$4,500,000","2014-04-01"
"","Robbie Keane","LAG","2014","F","$4,500,000","$4,500,000","2014-09-15"
"","Robbie Keane","LAG","2015","F","$4,500,000","$4,500,000","2015-07-15"
"","Robbie Keane","LAG","2015","F","$4,500,000","$4,500,000","2015-09-15"
"","Giovani dos Santos","LAG","2018","F","$4,250,000","$6,000,000","2018-05-01"
"","Giovani dos Santos","LAG","2018","F","$4,250,000","$6,000,000","2018-09-15"
"","Landon Donovan","LAG","2014","F","$4,250,000","$4,583,333","2014-04-01"
"","Landon Donovan","LAG","2014","F","$4,250,000","$4,583,333","2014-09-15"
"","Giovani dos Santos","LAG","2015","M","$4,000,008","$5,750,008","2015-09-15"
"","Giovani dos Santos","LAG","2015","M","$4,000,008","$4,100,008","2015-07-15"
"","Robbie Keane","LAG","2013","F","$4,000,000","$4,333,333","2013-08-01"
"","Robbie Keane","LAG","2013","F","$4,000,000","$4,333,333","2013-09-15"
"","Robbie Keane","LAG","2013","F","$4,000,000","$4,333,333","2013-05-01"
"","Clint Dempsey","SEA","2016","F","$3,913,008","$4,605,942","2016-09-15"
"","Clint Dempsey","SEA","2015","F","$3,913,008","$4,605,942","2015-07-15"
"","Clint Dempsey","SEA","2015","F","$3,913,008","$4,605,942","2015-09-15"
"","Clint Dempsey","SEA","2016","F","$3,913,008","$4,605,942","2016-05-15"
"","Alejandro Pozuelo","TOR","2019","M","$3,800,000","$3,800,000","2019-09-13"
"","Alejandro Pozuelo","TOR","2019","M","$3,800,000","$3,800,000","2019-06-01"
"","Giovani dos Santos","LAG","2017","F","$3,750,000","$5,500,000","2017-04-15"
"","Giovani dos Santos","LAG","2017","F","$3,750,000","$5,500,000","2017-09-15"
"","Thierry Henry","NYRB","2013","F","$3,750,000","$4,350,000","2013-08-01"
"","Thierry Henry","NYRB","2013","F","$3,750,000","$4,350,000","2013-09-15"
"","Thierry Henry","NYRB","2014","F","$3,750,000","$4,350,000","2014-04-01"
"","Thierry Henry","NYRB","2014","F","$3,750,000","$4,350,000","2014-09-15"
"","Thierry Henry","NYRB","2013","F","$3,750,000","$4,350,000","2013-05-01"
"","Wayne Rooney","DCU","2019","F","$3,500,000","$3,507,500","2019-09-13"
"","Tim Cahill","NYRB","2013","M","$3,500,000","$3,625,000","2013-08-01"
"","Tim Cahill","NYRB","2013","M","$3,500,000","$3,625,000","2013-09-15"
"","Tim Cahill","NYRB","2014","M","$3,500,000","$3,625,000","2014-04-01"
"","Tim Cahill","NYRB","2014","M","$3,500,000","$3,625,000","2014-09-15"
"","Tim Cahill","NYRB","2013","M","$3,500,000","$3,625,000","2013-05-01"
"","Wayne Rooney","DCU","2019","F","$3,500,000","$3,507,500","2019-06-01"
"","Robbie Keane","LAG","2016","F","$3,500,000","$3,500,000","2016-09-15"
"","Robbie Keane","LAG","2016","F","$3,500,000","$3,500,000","2016-05-15"
"","Clint Dempsey","SEA","2017","F","$3,200,000","$3,892,934","2017-04-15"
"","Clint Dempsey","SEA","2017","F","$3,200,000","$3,892,934","2017-09-15"
"","Jermaine Jones","NER","2014","M","$3,000,000","$3,252,500","2014-09-15"
"","Josef Martínez","ATL","2019","F","$3,000,000","$3,058,333","2019-09-13"
"","Josef Martínez","ATL","2019","F","$3,000,000","$3,058,333","2019-06-01"
"","Jermaine Jones","NER","2015","M","$2,800,000","$3,052,500","2015-07-15"
"","Jermaine Jones","NER","2015","M","$2,800,000","$3,052,500","2015-09-15"
"","Wayne Rooney","DCU","2018","F","$2,769,231","$2,776,731","2018-09-15"
"","Sebastián Blanco","POR","2019","M","$2,740,008","$2,853,341","2019-09-13"
"","Giovani dos Santos","LAG","2016","F","$2,500,000","$4,250,000","2016-09-15"
"","Giovani dos Santos","LAG","2016","F","$2,500,000","$4,250,000","2016-05-15"
"","Landon Donovan","LAG","2013","F","$2,500,000","$2,500,000","2013-08-01"
"","Landon Donovan","LAG","2013","F","$2,500,000","$2,500,000","2013-09-15"
"","Landon Donovan","LAG","2013","F","$2,500,000","$2,500,000","2013-05-01"
"","Obafemi Martins","SEA","2015","F","$2,400,000","$3,000,000","2015-07-15"
"","Obafemi Martins","SEA","2015","F","$2,400,000","$3,000,000","2015-09-15"
"","Nani","ORL","2019","M","$2,333,333","$2,486,250","2019-09-13"
"","Nani","ORL","2019","M","$2,333,333","$2,486,250","2019-06-01"
"","Diego Valeri","POR","2019","M","$2,320,000","$2,420,000","2019-06-01"
"","Diego Valeri","POR","2018","M","$2,320,000","$2,380,000","2018-05-01"
"","Diego Valeri","POR","2018","M","$2,320,000","$2,380,000","2018-09-15"
"","Diego Valeri","POR","2019","M","$2,320,000","$2,420,000","2019-09-13"
"","Gyasi Zardes","CLB","2019","F","$2,261,667","$2,311,667","2019-06-01"
"","Diego Valeri","POR","2017","M","$2,227,500","$2,607,500","2017-04-15"
"","Diego Valeri","POR","2017","M","$2,227,500","$2,607,500","2017-09-15"
"","Carles Gil","NER","2019","M","$2,100,000","$2,337,500","2019-06-01"
"","Carles Gil","NER","2019","M","$2,100,000","$2,337,500","2019-09-13"
"","Gustavo Bou","NER","2019","F","$2,100,000","$2,100,000","2019-09-13"
"","Marco Fabián","PHI","2019","M","$2,000,727","$2,274,087","2019-09-13"
"","Marco Fabián","PHI","2019","M","$2,000,727","$2,274,087","2019-06-01"
"","Andrea Pirlo","NYC","2015","M","$2,000,004","$2,315,694","2015-07-15"
"","Andrea Pirlo","NYC","2015","M","$2,000,004","$2,315,694","2015-09-15"
"","Raúl Ruidíaz","SEA","2018","F","$2,000,004","$2,000,004","2018-09-15"
"","Raúl Ruidíaz","SEA","2019","F","$2,000,004","$2,000,004","2019-09-13"
"","Nicolás Lodeiro","SEA","2019","M","$2,000,000","$2,502,500","2019-09-13"
"","Maximiliano Moralez","NYC","2017","M","$2,000,000","$2,000,000","2017-04-15"
"","Maximiliano Moralez","NYC","2017","M","$2,000,000","$2,000,000","2017-09-15"
"","Maximiliano Moralez","NYC","2018","M","$2,000,000","$2,000,000","2018-05-01"
"","Jonathan dos Santos","LAG","2018","M","$2,000,000","$2,000,000","2018-05-01"
"","Maximiliano Moralez","NYC","2018","M","$2,000,000","$2,000,000","2018-09-15"
"","Jonathan dos Santos","LAG","2018","M","$2,000,000","$2,000,000","2018-09-15"
"","Jonathan dos Santos","LAG","2017","M","$2,000,000","$2,000,000","2017-09-15"
"","Maximiliano Moralez","NYC","2019","M","$2,000,000","$2,000,000","2019-09-13"
"","Jonathan dos Santos","LAG","2019","M","$2,000,000","$2,000,000","2019-09-13"
"","Nicolás Lodeiro","SEA","2019","M","$2,000,000","$2,502,500","2019-06-01"
"","Maximiliano Moralez","NYC","2019","M","$2,000,000","$2,000,000","2019-06-01"
"","Jonathan dos Santos","LAG","2019","M","$2,000,000","$2,000,000","2019-06-01"
"","Miguel Almirón","ATL","2017","M","$1,912,500","$2,297,000","2017-04-15"
"","Miguel Almirón","ATL","2018","M","$1,912,500","$2,297,000","2018-05-01"
"","Miguel Almirón","ATL","2018","M","$1,912,500","$2,297,000","2018-09-15"
"","Miguel Almirón","ATL","2017","M","$1,912,500","$2,297,000","2017-09-15"
"","Yura Movsisyan","CHI","2018","F","$1,850,000","$2,073,750","2018-09-15"
"","Nicolás Lodeiro","SEA","2018","M","$1,800,000","$2,302,500","2018-05-01"
"","Nicolás Lodeiro","SEA","2018","M","$1,800,000","$2,302,500","2018-09-15"
"","Albert Rusnák","RSL","2019","M","$1,800,000","$2,001,667","2019-06-01"
"","Albert Rusnák","RSL","2019","M","$1,800,000","$2,001,667","2019-09-13"
"","Raúl Ruidíaz","SEA","2019","F","$1,800,000","$1,800,000","2019-06-01"
"","Darwin Quintero","MIN","2019","M","$1,750,000","$1,750,000","2019-09-13"
"","Yura Movsisyan","RSL","2017","F","$1,750,000","$1,973,750","2017-04-15"
"","Yura Movsisyan","RSL","2017","F","$1,750,000","$1,973,750","2017-09-15"
"","Darwin Quintero","MIN","2019","M","$1,750,000","$1,750,000","2019-06-01"
"","Borek Dockal","PHI","2018","M","$1,714,286","$1,714,286","2018-05-01"
"","Borek Dockal","PHI","2018","M","$1,714,286","$1,714,286","2018-09-15"
"","Nemanja Nikolic","CHI","2019","F","$1,700,000","$1,913,333","2019-09-13"
"","Nemanja Nikolic","CHI","2017","F","$1,700,000","$1,906,333","2017-04-15"
"","Nemanja Nikolic","CHI","2017","F","$1,700,000","$1,906,333","2017-09-15"
"","Nemanja Nikolic","CHI","2018","F","$1,700,000","$1,906,333","2018-05-01"
"","Nemanja Nikolic","CHI","2018","F","$1,700,000","$1,906,333","2018-09-15"
"","Nemanja Nikolic","CHI","2019","F","$1,700,000","$1,913,333","2019-06-01"
"","Johnny Russell","SKC","2019","M","$1,700,000","$1,700,000","2019-06-01"
"","Romain Alessandrini","LAG","2017","M","$1,669,401","$1,999,401","2017-04-15"
"","Romain Alessandrini","LAG","2017","M","$1,669,401","$1,999,401","2017-09-15"
"","Didier Drogba","MTL","2015","F","$1,666,668","$2,166,668","2015-09-15"
"","Didier Drogba","MTL","2016","F","$1,666,667","$2,191,667","2016-09-15"
"","Didier Drogba","MTL","2016","F","$1,666,667","$2,166,667","2016-05-15"
"","Darwin Quintero","MIN","2018","F","$1,650,000","$1,650,000","2018-05-01"
"","Darwin Quintero","MIN","2018","F","$1,650,000","$1,650,000","2018-09-15"
"","Obafemi Martins","SEA","2014","F","$1,620,000","$1,753,333","2014-04-01"
"","Obafemi Martins","SEA","2014","F","$1,620,000","$1,753,333","2014-09-15"
"","Romain Alessandrini","LAG","2019","M","$1,610,004","$1,940,004","2019-09-13"
"","Obafemi Martins","SEA","2013","F","$1,600,000","$1,725,000","2013-08-01"
"","Obafemi Martins","SEA","2013","F","$1,600,000","$1,725,000","2013-09-15"
"","Obafemi Martins","SEA","2013","F","$1,600,000","$1,725,000","2013-05-01"
"","Felipe Gutiérrez","SKC","2019","M","$1,600,000","$1,650,000","2019-06-01"
"","Felipe Gutiérrez","SKC","2018","M","$1,600,000","$1,650,000","2018-05-01"
"","Felipe Gutiérrez","SKC","2018","M","$1,600,000","$1,650,000","2018-09-15"
"","Felipe Gutiérrez","SKC","2019","M","$1,600,000","$1,650,000","2019-09-13"
"","Shkëlzen Gashi","COL","2016","F","$1,575,000","$1,668,750","2016-09-15"
"","Shkëlzen Gashi","COL","2017","F","$1,575,000","$1,668,750","2017-04-15"
"","Shkëlzen Gashi","COL","2018","F","$1,575,000","$1,668,750","2018-05-01"
"","Shkëlzen Gashi","COL","2018","F","$1,575,000","$1,668,750","2018-09-15"
"","Shkëlzen Gashi","COL","2016","M","$1,575,000","$1,668,750","2016-05-15"
"","Shkëlzen Gashi","COL","2017","F","$1,575,000","$1,668,750","2017-09-15"
"","Shaun Maloney","CHI","2015","M","$1,550,000","$1,586,000","2015-07-15"
"","Romain Alessandrini","LAG","2018","M","$1,539,996","$1,869,996","2018-05-01"
"","Romain Alessandrini","LAG","2018","M","$1,539,996","$1,869,996","2018-09-15"
"","Romain Alessandrini","LAG","2019","M","$1,539,996","$1,869,996","2019-06-01"
"","Marco Di Vaio","MTL","2014","F","$1,500,000","$2,600,000","2014-04-01"
"","Marco Di Vaio","MTL","2014","F","$1,500,000","$2,600,000","2014-09-15"
"","Bradley Wright-Phillips","NYRB","2017","F","$1,500,000","$1,635,000","2017-04-15"
"","Bradley Wright-Phillips","NYRB","2017","F","$1,500,000","$1,635,000","2017-09-15"
